Variedad,Fecha,RendimientoPromedio,RendimientoDesviacion,pct05,pct25,pct50,pct75,pct95
PIO 4082B,2016-10-01,10696.6,527.7,9576,10463,10866,11177,11384
PIO 4082B,2016-10-02,10696.6,527.7,9576,10463,10866,11177,11384
PIO 4082B,2016-10-03,10696.6,527.7,9576,10463,10866,11177,11384
PIO 4082B,2016-10-04,10696.6,527.7,9576,10463,10866,11177,11384
PIO 4082B,2016-10-05,10696.6,527.7,9576,10463,10866,11177,11384
PIO 4082B,2016-10-06,9682.5,791.1,8461,9286,9461,9938,11126
PIO 4082B,2016-10-07,9682.5,791.1,8461,9286,9461,9938,11126
PIO 4082B,2016-10-08,9682.5,791.1,8461,9286,9461,9938,11126
PIO 4082B,2016-10-09,9682.5,791.1,8461,9286,9461,9938,11126
PIO 4082B,2016-10-10,9682.5,791.1,8461,9286,9461,9938,11126
PIO 4082B,2016-10-11,9797.9,765.3,8517,9256,9800,10389,11153
PIO 4082B,2016-10-12,9797.9,765.3,8517,9256,9800,10389,11153
PIO 4082B,2016-10-13,9797.9,765.3,8517,9256,9800,10389,11153
PIO 4082B,2016-10-14,9797.9,765.3,8517,9256,9800,10389,11153
PIO 4082B,2016-10-15,9797.9,765.3,8517,9256,9800,10389,11153
PIO 4082B,2016-10-16,9844.3,1000.4,8195,8815,10146,10659,11016
PIO 4082B,2016-10-17,9844.3,1000.4,8195,8815,10146,10659,11016
PIO 4082B,2016-10-18,9844.3,1000.4,8195,8815,10146,10659,11016
PIO 4082B,2016-10-19,9844.3,1000.4,8195,8815,10146,10659,11016
PIO 4082B,2016-10-20,9844.3,1000.4,8195,8815,10146,10659,11016
PIO 4082B,2016-10-21,10000.1,700.4,8651,9474,9947,10785,10920
PIO 4082B,2016-10-22,10000.1,700.4,8651,9474,9947,10785,10920
PIO 4082B,2016-10-23,10000.1,700.4,8651,9474,9947,10785,10920
PIO 4082B,2016-10-24,10000.1,700.4,8651,9474,9947,10785,10920
PIO 4082B,2016-10-25,10000.1,700.4,8651,9474,9947,10785,10920
PIO 4082B,2016-10-26,9685.6,699.8,8657,8949,9778,10457,10652
PIO 4082B,2016-10-27,9685.6,699.8,8657,8949,9778,10457,10652
PIO 4082B,2016-10-28,9685.6,699.8,8657,8949,9778,10457,10652
PIO 4082B,2016-10-29,9685.6,699.8,8657,8949,9778,10457,10652
PIO 4082B,2016-10-30,9685.6,699.8,8657,8949,9778,10457,10652
PIO 4082B,2016-10-31,9325.2,547.5,8492,8862,9495,9783,10098
PIO 4082B,2016-11-01,9325.2,547.5,8492,8862,9495,9783,10098
PIO 4082B,2016-11-02,9325.2,547.5,8492,8862,9495,9783,10098
PIO 4082B,2016-11-03,9325.2,547.5,8492,8862,9495,9783,10098
PIO 4082B,2016-11-04,9325.2,547.5,8492,8862,9495,9783,10098
PIO 4082B,2016-11-05,9445.9,686,8109,9164,9229,10206,10340
PIO 4082B,2016-11-06,9445.9,686,8109,9164,9229,10206,10340
PIO 4082B,2016-11-07,9445.9,686,8109,9164,9229,10206,10340
PIO 4082B,2016-11-08,9445.9,686,8109,9164,9229,10206,10340
PIO 4082B,2016-11-09,9445.9,686,8109,9164,9229,10206,10340
PIO 4082B,2016-11-10,9969.5,874.4,8198,9692,9824,10394,11452
PIO 4082B,2016-11-11,9969.5,874.4,8198,9692,9824,10394,11452
PIO 4082B,2016-11-12,9969.5,874.4,8198,9692,9824,10394,11452
PIO 4082B,2016-11-13,9969.5,874.4,8198,9692,9824,10394,11452
PIO 4082B,2016-11-14,9969.5,874.4,8198,9692,9824,10394,11452
PIO 4082B,2016-11-15,10021.3,923.5,8797,9373,9803,10613,11767
PIO 4082B,2016-11-16,10021.3,923.5,8797,9373,9803,10613,11767
PIO 4082B,2016-11-17,10021.3,923.5,8797,9373,9803,10613,11767
PIO 4082B,2016-11-18,10021.3,923.5,8797,9373,9803,10613,11767
PIO 4082B,2016-11-19,10021.3,923.5,8797,9373,9803,10613,11767
PIO 4082B,2016-11-20,10349.6,877.6,9360,9653,10031,10763,12331
PIO 4082B,2016-11-21,10349.6,877.6,9360,9653,10031,10763,12331
PIO 4082B,2016-11-22,10349.6,877.6,9360,9653,10031,10763,12331
PIO 4082B,2016-11-23,10349.6,877.6,9360,9653,10031,10763,12331
PIO 4082B,2016-11-24,10349.6,877.6,9360,9653,10031,10763,12331
PIO 4082B,2016-11-25,10763.1,685.3,9307,10645,10763,11095,11753
PIO 4082B,2016-11-26,10763.1,685.3,9307,10645,10763,11095,11753
PIO 4082B,2016-11-27,10763.1,685.3,9307,10645,10763,11095,11753
PIO 4082B,2016-11-28,10763.1,685.3,9307,10645,10763,11095,11753
PIO 4082B,2016-11-29,10763.1,685.3,9307,10645,10763,11095,11753
PIO 4082B,2016-11-30,10763.1,685.3,9307,10645,10763,11095,11753
